5:6:41.624008 - debugger.py, 1 - Started
5:6:41.625008 - Brain.py, 2 - Started
5:6:41.628009 - cfg_parser.py, 3 - Started
5:6:41.633010 - Interface_Object.py, 4 - Started
5:6:41.633010 - Interface_Object.py, 5 - Initialising constants
5:6:41.634010 - Interface_Object.py, 6 - Constants initialised
5:6:41.634010 - Interface_Object.py, 7 - Interface objects initialising
5:6:41.644012 - Interface_Object.py, 8 - Button exit initialising
5:6:41.644012 - Interface_Object.py, 9 - Button exit initialised as dynamic
5:6:41.644012 - Interface_Object.py, 10 - Button exit initialised
5:6:41.645013 - Interface_Object.py, 11 - Button start_typing initialising
5:6:41.645013 - Interface_Object.py, 12 - Button start_typing initialised as dynamic
5:6:41.645013 - Interface_Object.py, 13 - Button start_typing initialised
5:6:41.646013 - Interface_Object.py, 14 - Button stop_typing initialising
5:6:41.646013 - Interface_Object.py, 15 - Button stop_typing initialised as dynamic
5:6:41.646013 - Interface_Object.py, 16 - Button stop_typing initialised
5:6:41.647013 - Interface_Object.py, 17 - Textbar cam_id_textbar initialising
5:6:41.647013 - Interface_Object.py, 18 - Interface objects initialised
5:6:41.647013 - Interface.py, 19 - Started
5:6:41.647013 - Interface.py, 20 - Initialising display
5:6:41.796739 - Interface.py, 21 - Display initialised
5:6:41.796739 - Interface.py, 22 - Main cycle iteration
5:6:41.813743 - Interface_Object.py, 23 - Button exit intersection check
5:6:41.813743 - Interface_Object.py, 24 - Button exit press check
5:6:41.813743 - Interface_Object.py, 25 - Button exit intersection check failed
5:6:41.813743 - Interface_Object.py, 26 - Button start_typing intersection check
5:6:41.813743 - Interface_Object.py, 27 - Button start_typing press check
5:6:41.813743 - Interface_Object.py, 28 - Button start_typing intersection check failed
5:6:41.813743 - Interface_Object.py, 29 - Button stop_typing intersection check
5:6:41.813743 - Interface_Object.py, 30 - Button stop_typing press check
5:6:41.813743 - Interface_Object.py, 31 - Button stop_typing intersection check failed
5:6:41.813743 - Interface_Object.py, 32 - Button exit intersection check
5:6:41.813743 - Interface_Object.py, 33 - Button exit press check
5:6:41.813743 - Interface_Object.py, 34 - Button exit intersection check failed
5:6:41.813743 - Interface_Object.py, 35 - Button start_typing intersection check
5:6:41.813743 - Interface_Object.py, 36 - Button start_typing press check
5:6:41.813743 - Interface_Object.py, 37 - Button start_typing intersection check failed
5:6:41.813743 - Interface_Object.py, 38 - Button stop_typing intersection check
5:6:41.813743 - Interface_Object.py, 39 - Button stop_typing press check
5:6:41.813743 - Interface_Object.py, 40 - Button stop_typing intersection check failed
5:6:41.813743 - Interface_Object.py, 41 - Button exit intersection check
5:6:41.813743 - Interface_Object.py, 42 - Button exit press check
5:6:41.813743 - Interface_Object.py, 43 - Button exit intersection check failed
5:6:41.813743 - Interface_Object.py, 44 - Button start_typing intersection check
5:6:41.814743 - Interface_Object.py, 45 - Button start_typing press check
5:6:41.814743 - Interface_Object.py, 46 - Button start_typing intersection check failed
5:6:41.814743 - Interface_Object.py, 47 - Button stop_typing intersection check
